分類,分類標題,字號,日期,摘要,關鍵詞,來源檔名
1-23,農業用地作農業使用證明書申請核發用途,,,1-23 釋農業用地作農業使用證明書申請核發用途(105年2月15日農企字第1050012067A號令)修正「農業用地作農業使用認定及核發證明辦法」第三條。(為配合農業用地興建農舍辦法一百零四年九月四日修正第二條第二項規定，申請興建農舍之該農業用地確供農業使用，與不影響農業生產環境及農村發展之認定文件，改以檢附經營計畫書取代，不再以農業用地作農業使用證明書作為佐證文件，爰修正農業用地作農業使用認定及核發證明辦法第三條，刪除現行條文第三條第一款規定，即農業用地作農業使用證明書之核發用途不再用於申請興建自用農舍。) (103年9月12日農企字第1030230625號函)查本會依據農業發展條例第39,23、釋農業用地作農業使用證明書申請核發用途、105年2月15日農企字第1050012067A號令、修正、農業用地作農業使用認定及核發證明辦法、第三條、為配合農業用地興建農舍辦法一百零四年九月四日修正第二條第二項規定、申請興建農舍之該農業用地確供農業使用、與不影響農業生產環境及農村發展之認定文件、改以檢附經營計畫書取代,農業使用證明函釋part8.docx
1-24,通知申請人限期補正案,,,1-24 釋通知申請人限期補正案(103年3月26日農企字第1030705726號函)查農業用地作農業使用認定及核發證明辦法(以下簡稱農用證明辦法)第10條第1項規定：「直轄市或縣(市)政府受理申請案件後，應實地勘查，並以1次為限。」同條第3項規定略以：「直轄市或縣(市)政府辦理第1項勘查時，應通知申請人到場指界及說明，...」其意旨在於直轄市或縣(市)政府受理農業用地作農業使用證明書之申請案件後，為實際瞭解該筆農業用地之利用現況及保障申請人權益，須辦理實地勘查，爰賦予受理機關應通知申請人到場協助指界及說明之責任，屬依法應踐行之程序，惟應以一次為限，以避免民眾困擾，合先敘明。基於前開立法意旨，,直轄市或縣、24、釋通知申請人限期補正案、103年3月26日農企字第1030705726號函、查農業用地作農業使用認定及核發證明辦法、以下簡稱農用證明辦法、第10條第1項規定、政府受理申請案件後、應實地勘查、並以1次為限,農業使用證明函釋part8.docx
1-25,申請案應檢附之身分證明文件等資料,,,1-25 釋申請案應檢附之身分證明文件等資料(110年1月14日農企字第1090256292號函)查本會108年12月23日農企字第1080252803號函(諒達)復貴府說明三略以：「．．．是以，繼承開始時，繼承人已為土地所有權人，對於農地繼承之農用證明案件，倘申請人提出其為繼承人身分之證明文件，自得辦理(繼承人之一申請即可)，無須要求所有繼承人申請。」所稱繼承人身分證明文件係指足資證明發生繼承事實及其親屬關係之文件，例如載有被繼承人死亡記事之戶籍資料及申請人(繼承人)與土地所有權人(被繼承人)之親屬關係戶籍資料等文件，本案請依上開原則審認核處。(109年8月13日農企字第1090230376,25、釋申請案應檢附之身分證明文件等資料、110年1月14日農企字第1090256292號函、查本會108年12月23日農企字第1080252803號函、諒達、復貴府說明三略以、是以、繼承開始時、繼承人已為土地所有權人、對於農地繼承之農用證明案件,農業使用證明函釋part8.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第1100227003號函,110年8月9日,查農業用地應符合作農業使用之認定基準，始得核發農業用地作農業使用證明書(以下簡稱農用證明)俾供持憑申請不課徵土地增值稅及遺產稅、贈與稅等賦稅減免優惠。本會並定有「農業用地作農業使用認定及核發證明辦法」(以下簡稱農用證明辦法)作為執行依據。另依農用證明辦法第6條第6款規定：「農業用地部分面積有下列情形之一，且不影響供農業使用者，得認定為作農業使用：．．．六、共有農業用地有違反使用管制規定之情形，其違規面積未大於違規使用共有人之應有部分面積，其他未違規使用共有人之應有部分，經檢具第8條之文件。」主要係避免未違規使用共有人為處分其持分部分之土地，因其他共有人之違規行為影響其權益，故規定得就該未違規使,查農業用地應符合作農業使用之認定基準、始得核發農業用地作農業使用證明書、以下簡稱農用證明、俾供持憑申請不課徵土地增值稅及遺產稅、贈與稅等賦稅減免優惠、本會並定有、農業用地作農業使用認定及核發證明辦法、以下簡稱農用證明辦法、作為執行依據、另依農用證明辦法第6條第6款規定,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第1050243409號函,105年12月14日,依農業用地作農業使用認定及核發證明辦法第6條第6款及第8條第1項第1款規定，針對有違規使用之共有農業用地，申辦農業用地作農業使用證明書(以下簡稱農用證明)，得檢附全體共有人簽署之分管契約書圖，就申請人分管部分查核是否符合農業使用認定基準。其目的係農業用地在共有之前提下，為釐清實際違規行為人之責任，避免因他共有人之違規行為而影響合法共有人之權益，所作之適法措施。爰該分管契約書圖應為共有人間之合意且該違規使用部分為實際之違規行為者所分管，以落實獎勵農地農用之立法意旨。依貴府來函所述，本案土地原為1人單獨所有，其地上存在非農業使用之設施，未符農業使用之認定基準，貴縣西螺鎮公所於105年1月26日駁回,依農業用地作農業使用認定及核發證明辦法第6條第6款及第8條第1項第1款規定、針對有違規使用之共有農業用地、申辦農業用地作農業使用證明書、以下簡稱農用證明、得檢附全體共有人簽署之分管契約書圖、就申請人分管部分查核是否符合農業使用認定基準、其目的係農業用地在共有之前提下、為釐清實際違規行為人之責任、避免因他共有人之違規行為而影響合法共有人之權益、所作之適法措施,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第1040244882號函,104年5月16日,查農業用地作農業使用認定及核發證明辦法(以下簡稱農用證明辦法)第8條第3款之規定，係配合農用證明辦法第6條第6款得認定為作農業使用之情形，倘有因他共有人無法尋覓、死亡或不願切結違規使用等情事，亦得依民法第820條規定，以「共有人過半數及其應有部分合計過半數之同意；或應有部分合計過2/3者，其人數不予計算。」之分管證明辦理。又為保障其他共有人權益，依該款辦理者，受理機關並應踐行行政程序法第104條至第106條給予相對人陳述意見之機會及同法第1章第6節調查事實及證據之程序，合先敘明。又貴局來函詢問上開行政程序法執行疑義，本會說明如下：有關共有人死亡，如何確認繼承人一節，宜請貴局先行洽詢戶政單位確認,說明、查農業用地作農業使用認定及核發證明辦法、以下簡稱農用證明辦法、第8條第3款之規定、係配合農用證明辦法第6條第6款得認定為作農業使用之情形、倘有因他共有人無法尋覓、死亡或不願切結違規使用等情事、亦得依民法第820條規定、共有人過半數及其應有部分合計過半數之同意、或應有部分合計過2,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第1010100057號函,101年5月16日,按98年修正之民法第820條第1項之規定：「共有物之管理，除契約另有約定外，應以共有人過半數及其應有部分合計過半數之同意行之。但其應有部分合計逾三分之二者，其人數不予計算。」係明定共有物之管理，除契約另有約定外，應依多數決為之。次按實務上常見之「分管契約」，係指共有人間約定各自分別占有共有物之特別部分而為管理之契約，其成立須由共有人全體共同協議定之。此種契約即為上開規定所稱「除契約另有約定」之情形。準此，倘非以訂立分管契約方式辦理者，該共有物之管理應得適用上開民法多數決之規定。又依民法第826條之1第1項規定:「不動產共有人間關於共有物使用、管理、分割或禁止分割之約定或依第820條第1項規定所,除契約另有約定外、按98年修正之民法第820條第1項之規定、共有物之管理、應以共有人過半數及其應有部分合計過半數之同意行之、但其應有部分合計逾三分之二者、其人數不予計算、係明定共有物之管理、應依多數決為之、次按實務上常見之、分管契約,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第1000113251號函,100年3月21日,一、查本會90年7月31日（90）農企字900010341號函釋有關共有農業用地之部分共有人，為申請其持分部分之農業用地作農業使用證明書，該農業用地倘有部分違規使用情事時，得依據全體共有人合意之分管契約書，就申請人分管部分查核是否符合農業使用認定基準，作為是否核發農業用地作農業使用證明書之依據一節，係就農業用地在共有之前提下，為釐清實際違規行為人之責任，避免因他共有人之違規行為而影響合法共有人之權益，所作之適法措施，合先敘明。二、又作農業使用之農業用地得申請不課徵土地增值稅或免徵遺產稅、贈與稅係以賦稅減免優惠，以獎勵農地農用。本案依案附說明，旨揭土地原為莊君個人所有，其申請興建之農舍有違規使用,查本會90年7月31日、90、農企字900010341號函釋有關共有農業用地之部分共有人、為申請其持分部分之農業用地作農業使用證明書、該農業用地倘有部分違規使用情事時、得依據全體共有人合意之分管契約書、就申請人分管部分查核是否符合農業使用認定基準、作為是否核發農業用地作農業使用證明書之依據一節、係就農業用地在共有之前提下、為釐清實際違規行為人之責任,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0990165544號函,99年10月14日,一、按民法第820條第1項之規定：「共有物之管理，除契約另有約定外，應以共有人過半數及其應有部分合計過半數之同意行之。但其應有部分合計逾三分之二者，其人數不予計算。」係仿多數立法例，明定共有物之管理，除契約另有約定外，應依多數決為之。次按實務上常見之「分管契約」，係指共有人間約定各自分別占有共有物之特別部分而為管理之契約，其成立須由共有人全體共同協議定之。此種契約即屬上開規定所稱「除契約另有約定」之情形。二、再按民法第820條第1項之規定，共有物之管理除得依前述分管契約之方式為之外，亦得依該項所定多數決之方式為之。因此，共有農業用地之共有人為申請其持分部分之農業用地作農業使用證明書，倘不以分管,除契約另有約定外、按民法第820條第1項之規定、共有物之管理、應以共有人過半數及其應有部分合計過半數之同意行之、但其應有部分合計逾三分之二者、其人數不予計算、係仿多數立法例、明定共有物之管理、應依多數決為之、次按實務上常見之,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0990118065號函,99年3月26日,一、查本會90年7月31日（90）農企字第900010341號函說明一略以：「...因共有土地之權屬關係較單獨所有者複雜，為保障各共有人之權益，同時兼顧前開法律規定，本會曾多次邀集內政部、財政部、法務部及各縣（市）政府開會研商，以謀適法之措施，經彙整其結論包括...」換言之，該函釋係就共有農業用地之部分共有人擬申請其持分部分之農業用地作農業使用證明書時，倘該筆農業用地有部分違規使用情事，為釐清該違規使用者之責任，俾免影響其他未違規使用者之權益，故得依該函釋說明一所列四項措施，擇一辦理。二、又前開函說明一（三）略以：「共有土地如有部分違規使用之情事者，可由該違規使用之共有人簽章切結該違規使用部分,查本會90年7月31日、90、農企字第900010341號函說明一略以、因共有土地之權屬關係較單獨所有者複雜、為保障各共有人之權益、同時兼顧前開法律規定、本會曾多次邀集內政部、財政部、法務部及各縣、政府開會研商,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0990117058號函,99年3月25日,一、查農業用地作農業使用證明書之核發僅係認定該農業用地確作農業使用，以供持憑向稅捐稽徵機關申請賦稅減免優惠，並非核發前開證明書即有處分之效果，因此，並無所稱土地法第34條之1規定適用與否之問題。二、有關公同共有之農業用地申請核發農業用地作農業使用證明書，應就該公同共有之農業用地視為一整體審認之，本會前於98年5月20日業已函復貴局在案。至申請人得為土地所有權人或權利關係人，並無需將全體共有人均列為申請人，惟該申請書及農業用地作農業使用證明書之土地所有權人欄位，應明列全體共有人之姓名。,查農業用地作農業使用證明書之核發僅係認定該農業用地確作農業使用、以供持憑向稅捐稽徵機關申請賦稅減免優惠、並非核發前開證明書即有處分之效果、因此、並無所稱土地法第34條之1規定適用與否之問題、有關公同共有之農業用地申請核發農業用地作農業使用證明書、應就該公同共有之農業用地視為一整體審認之、本會前於98年5月20日業已函復貴局在案、至申請人得為土地所有權人或權利關係人、並無需將全體共有人均列為申請人,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0980129458號函,98年5月20日,一、查民法第819條第1項所謂各共有人得自由處分其應有部分，應係指「分別共有」，即同法第817條第1項規定數人按其應有部分，對於一物有所有權者而言。準此，則該第817條第2項所定「各共有人之應有部分不明者，推定其為均等。」應係規範該條之「分別共有」者而言。二、又民法有關公同共有之成立、消滅、公同共有人之權利義務關係、公同共有物之分割限制等分別定於同法第827條至第830條。因此，不宜將公同共有之案件套用於規範分別共有之相關條文。三、本案公同共有農業用地成立之原因，似為因未辦理分割遺產，致依民法第1151條之規定而成為公同共有，故其申請核發農業用地作農業使用證明書，應就該公同共有之農業用地視為一,分別共有、查民法第819條第1項所謂各共有人得自由處分其應有部分、應係指、即同法第817條第1項規定數人按其應有部分、對於一物有所有權者而言、準此、則該第817條第2項所定、各共有人之應有部分不明者、推定其為均等、應係規範該條之,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0960161748號函,96年11月6日,一、查本會90年7月31日(90)農企字第900010341號函釋有關共有農業用地之部分共有人，為申請其持分部分之農業用地作農業使用證明書，該農業用地倘有部分違規使用情事時，得依據全體共有人合意之分管契約書，就申請人分管部分查核是否符合農業使用認定基準，作為是否核發農業用地作農業使用證明書之依據一節，係基於善意認定申請人並無欺瞞、耍詐之情事，並兼顧法令規定及農業用地共有人之權益，所作之適法措施，合先敘明。二、本案當事人原以該筆農業用地之共有人身分，與他共有人簽有分管契約書，確認其與另2共有人分管持分部分有違規使用情事，即應就其原分管部分審認，不應以其先前已確認且屬他共有人所分管之未違規使用部分,查本會90年7月31日、90、農企字第900010341號函釋有關共有農業用地之部分共有人、為申請其持分部分之農業用地作農業使用證明書、該農業用地倘有部分違規使用情事時、得依據全體共有人合意之分管契約書、就申請人分管部分查核是否符合農業使用認定基準、作為是否核發農業用地作農業使用證明書之依據一節、係基於善意認定申請人並無欺瞞、耍詐之情事,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0930132447號函,93年7月12日,查「不動產物權，依法律行為而取得、設定、喪失及變更者，非經登記，不生效力。」、「因繼承、強制執行、公用徵收或法院之判決，於登記前已取得不動產物權者，非經登記不得處分其物權。」分別為民法第758條及第759條所明定。有關共有農業用地部分共有人之應有持份部分移轉與第三人，自應依法辦理不動產物權變更登記，始生效力。至前土地共有人間所訂定之分管契約書對於受讓人縱使具有拘束力，但當事人既已變更，該分管契約書自應隨同辦理當事人變更，始符名實。準此，共有農業用地之共有人申請農業用地作農業使用證明書，如需檢附分管契約書時，仍應以土地登記簿所載之共有人所簽署之分管契約書為準。,不動產物權、依法律行為而取得、設定、喪失及變更者、非經登記、不生效力、因繼承、強制執行、公用徵收或法院之判決、於登記前已取得不動產物權者,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0920165323號函,92年11月12日,查本會90年7月31日（90）農企字第900010341號函釋有關共有土地之部分共有人申請其持分部分之農業用地作農業使用證明書案，係基於保障善意共有人及第三人之權益。本案依卷附文卷所陳如屬實情，陳清溪君、第三人與陳太福君等不無虛偽作假及通謀之嫌，因此，涉及本案之農業用地作農業使用證明書之申請應予以駁回；前已核發者應予以撤銷，並通知稅捐稽徵機關及地政機關為適法之處分。,查本會90年7月31日、90、農企字第900010341號函釋有關共有土地之部分共有人申請其持分部分之農業用地作農業使用證明書案、係基於保障善意共有人及第三人之權益、本案依卷附文卷所陳如屬實情、陳清溪君、第三人與陳太福君等不無虛偽作假及通謀之嫌、因此、涉及本案之農業用地作農業使用證明書之申請應予以駁回、前已核發者應予以撤銷,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0920162962號函,92年11月10日,查本會90年7月31日(90)農企字第900010341號函（諒達）說明一、（四）「如有因他共有人無法尋覓、死亡或不願切結違規使用等情事，致無法取得全體共有人合意之分管證明者，得以『共有人過半數及其應有部份合計過半數之同意；或應有部份合計過3分之2者，其人數不予計算。』之分管證明為之，惟鄉（鎮、市、區）公所於接受前開部份共有人簽結之分管證明時，為兼顧其他共有人之權益，應參酌行政程序法第104條至第106條及第1章第6節相關規定妥處。」其中「過半數」及「過3分之2」等文字，修正為「達半數」及「達3分之2」，俾利執行。,查本會90年7月31日、90、農企字第900010341號函、諒達、說明一、如有因他共有人無法尋覓、死亡或不願切結違規使用等情事、致無法取得全體共有人合意之分管證明者、得以、共有人過半數及其應有部份合計過半數之同意,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0920116122號函,92年4月1日,一、查本會90年7月31日（90）農企字900010341號函釋有關共有農業用地申請農業用地作農業使用證明書，允許共有人以分管契約書，就其分管部分查核是否符合農業使用認定基準，作為是否核發農業用地作農業使用證明書之依據乙節，係基於善意認定申請人並無欺瞞、耍詐之情事，並兼顧法令規定及農業用地共有人之權益，所作之適法措施。二、旨揭案件該筆土地原已違規使用，且屬單獨所有之農業用地，今為辦理該筆土地之所有權移轉登記，並享有土地增值稅之減免優惠，竟藉合併、更換分管區域之方式，規避違規使用區域之查核，顯已非屬本會前開應善意保護之土地共有人，且有玩法之嫌，應駁回其農業用地作農業使用證明書之申請案件；且既已得,查本會90年7月31日、90、農企字900010341號函釋有關共有農業用地申請農業用地作農業使用證明書、允許共有人以分管契約書、就其分管部分查核是否符合農業使用認定基準、作為是否核發農業用地作農業使用證明書之依據乙節、係基於善意認定申請人並無欺瞞、耍詐之情事、並兼顧法令規定及農業用地共有人之權益、所作之適法措施,農業使用證明函釋part9.docx
2-1,共有人申請其持分部分之農業用地作農業使用證明書案,字第0910010038號函,91年4月17日,本會旨揭函（90年7月31日(90)農企字第900010341號函）釋所稱「參酌行政程序法第104條至第106條及第1章第6節相關規定妥處」乙節，係指應給予相對人陳述意見之機會及調查事實及證據，以作為行政處分之依據。於實務執行上，鄉（鎮、市、區）公所應將案情公告，並通函其他未簽署之共有人於一定期限內為意思表示，逾期不為表示即視同默認，鄉（鎮、市、區）公所即得依規定核處，並依行政程序法第一百條之規定使各共有人知悉該行政處分；倘如其他共有人有不同意見之表示，則該共有人合意之分管契約書無法成立，應將該申請案駁回。（90年7月31日(90)農企字第900010341號函）一、查農業發展條例第31條明定,90年7月31日、90、農企字第900010341號函、本會旨揭函、釋所稱、參酌行政程序法第104條至第106條及第1章第6節相關規定妥處、乙節、係指應給予相對人陳述意見之機會及調查事實及證據、以作為行政處分之依據、於實務執行上,農業使用證明函釋part9.docx
2-2,共有農業用地申請農業用地作農業使用證明書應檢附分管契約書或其他文件案,字第1010121931號函,101年9月3日,查共有農業用地申請核發農業用地作農業使用證明書，須檢附全體共有人分管契約書主要係為釐清實際違規行為人之責任，並為兼顧共有人之權益。因此提供分管契約書應以能明確識別各共有人之分管區域為目的。來函所詢「分管區域圖」倘符合上開明確性原則，並為各共有人認可，尚無製作方式及相關格式之規定。,查共有農業用地申請核發農業用地作農業使用證明書、須檢附全體共有人分管契約書主要係為釐清實際違規行為人之責任、並為兼顧共有人之權益、因此提供分管契約書應以能明確識別各共有人之分管區域為目的、來函所詢、分管區域圖、倘符合上開明確性原則、並為各共有人認可、尚無製作方式及相關格式之規定,農業使用證明函釋part10.docx
2-2,共有農業用地申請農業用地作農業使用證明書應檢附分管契約書或其他文件案,字第0970138770號函,97年7月17日,有關共有農業用地之共有人為申請其持分部分之農業用地作農業使用證明書，其檢附之分管契約書應否檢附印鑑證明一節，本會前於91年3月11日以農企字第0910110950號函復 貴府等略以：「查本會90年7月31日(90)農企字第900010341號函係彙整多次會議之結論，該結論雖未明訂分管契約書或違規使用切結書是否須蓋印鑑章及檢附印鑑證明等事項。惟於會中，據基層與會機關反映，該等分管契約書之用章，多有代書統一刻印情事，無法分辨真偽，為保障其他共有人之權益，宜以印鑑章為準；但亦有基於簡政便民立場持不同意見，認為只要共有人或切結人現場簽章或經核對確認其身分即可。因此，會中未有決議，而得由縣（市）政府本於,有關共有農業用地之共有人為申請其持分部分之農業用地作農業使用證明書、其檢附之分管契約書應否檢附印鑑證明一節、本會前於91年3月11日以農企字第0910110950號函復、貴府等略以、查本會90年7月31日、90、農企字第900010341號函係彙整多次會議之結論、該結論雖未明訂分管契約書或違規使用切結書是否須蓋印鑑章及檢附印鑑證明等事項、惟於會中、據基層與會機關反映,農業使用證明函釋part10.docx
2-2,共有農業用地申請農業用地作農業使用證明書應檢附分管契約書或其他文件案,字第0970129946號函,97年6月9日,查本會90年7月31日（90）農企字第900010341號函釋略以：「...共有土地如無違規使用情事，且符合作農業使用之認定基準，可依規定核發農業用地作農業使用證明書；如有違規情事，應請補附『全部共有人之分管契約書』，以證明申請移轉部分為申請人所分管且無違規使用情事。」本案倘經依前開規定，由共有人出具分管契約，並現場會勘，就申請人分管部分審認，如符合作農業使用之認定，則該農業用地作農業使用證明書之核發應無疑義。至所稱面積差異問題，依案附彰化縣地方稅務局函說明二末段，該局以分管圖及分割後地籍圖作對照，而得有二共有人分割後之確實面積資料。惟貴轄鹿港鎮公所於審核發給農業用地作農業使用證明書時，並無分,查本會90年7月31日、90、農企字第900010341號函釋略以、共有土地如無違規使用情事、且符合作農業使用之認定基準、可依規定核發農業用地作農業使用證明書、如有違規情事、應請補附、全部共有人之分管契約書、以證明申請移轉部分為申請人所分管且無違規使用情事,農業使用證明函釋part10.docx
2-2,共有農業用地申請農業用地作農業使用證明書應檢附分管契約書或其他文件案,字第0910110950號函,91年3月11日,一、查本會90年7月31日(90)農企字第900010341號函係彙整多次會議之結論，該結論雖未明訂分管契約書或違規使用切結書是否須蓋印鑑章及檢附印鑑證明等事項。惟於會中，據基層與會機關反映，該等分管契約書之用章，多有代書統一刻印情事，無法分辨真偽，為保障其他共有人之權益，宜以印鑑章為準；但亦有基於簡政便民立場持不同意見，認為只要共有人或切結人現場簽章或經核對確認其身分即可。因此，會中未有決議，而得由縣（市）政府本於權責酌處。二、至所稱土地所有權人到場指界是否得由全體共有人或全體切結人到場指界說明乙節，似宜依現場界址是否明確，本於權責酌處。,查本會90年7月31日、90、農企字第900010341號函係彙整多次會議之結論、該結論雖未明訂分管契約書或違規使用切結書是否須蓋印鑑章及檢附印鑑證明等事項、惟於會中、據基層與會機關反映、該等分管契約書之用章、多有代書統一刻印情事、無法分辨真偽、為保障其他共有人之權益,農業使用證明函釋part10.docx
3-1,農業用地上建有農業設施,字第1000162691號函,100年10月7日,一、查農業用地作農業使用認定及核發證明辦法第5條第2款規定，農業用地上施設有農業設施，應檢附容許使用同意書及建築執照，並未規範該農業設施容許使用同意書之申請人須為土地所有權人。次查本會100年7月19日農企字第1000143240號通函(諒達)示略以：「申請農業用地作農業設施容許使用審查辦法」係針對農業用地興建農業設施之使用內容進行審查，並非對申請人之資格要件查核，故農業設施於取得農業用地作農業設施容許使用同意書建築完成後，如僅因使用人變更，而該農業設施仍依原核定之計畫內容使用，該使用人尚無申請變更同意書之必要。二、綜上，申請核發農業用地作農業使用證明書，檢具非本人之農業設施容許使用同意書，仍,查農業用地作農業使用認定及核發證明辦法第5條第2款規定、農業用地上施設有農業設施、應檢附容許使用同意書及建築執照、並未規範該農業設施容許使用同意書之申請人須為土地所有權人、次查本會100年7月19日農企字第1000143240號通函、諒達、示略以、申請農業用地作農業設施容許使用審查辦法、係針對農業用地興建農業設施之使用內容進行審查、並非對申請人之資格要件查核,農業使用證明函釋part11.docx
3-1,農業用地上建有農業設施,字第0950010504號函,95年3月23日,查農業發展條例第8之1條第2項明定「農業用地上興建有固定基礎之農業設施，應先申請農業設施之容許使用，並依法申請建築執照。但農業設施面積在45平方公尺以下，且屬一層樓之建築者，免申請建築執照。本條例中華民國92年1月13日修正施行前，已興建有固定基礎之農業設施，面積在250平方公尺以下而無安全顧慮者，得免申請建築執照。」因此，農業設施除符合該項但書規定要件者，得免申請建築執照外，仍需依法申請容許使用及建築執照，始符合法制規定。有關農業用地上興建有未經申請核准容許使用之農業設施，該農業用地於申請核發農業用地作農業使用證明書，應輔導補辦申請容許使用，並於核發農業用地作農業使用證明書時，一併發給容許使,查農業發展條例第8之1條第2項明定、農業用地上興建有固定基礎之農業設施、應先申請農業設施之容許使用、並依法申請建築執照、但農業設施面積在45平方公尺以下、且屬一層樓之建築者、免申請建築執照、本條例中華民國92年1月13日修正施行前、已興建有固定基礎之農業設施、面積在250平方公尺以下而無安全顧慮者,農業使用證明函釋part11.docx
3-1,農業用地上建有農業設施,字第0930010551號函,93年12月9日,一、有關農業用地上興建有未經申請核准容許使用之農業設施，該農業用地於申請核發農業用地作農業使用證明書，應輔導補辦申請容許使用，並於核發農業用地作農業使用證明書時，一併發給容許使用證明，本會旨揭函釋業有明文，先予敘明。二、又農業發展條例民國92年2月7日發布實行時，增訂第八條之一，其第二項明定「農業用地上興建有固定基礎之農業設施，應先申請農業設施之容許使用，並依法申請建築執照。但農業設施在45平方公尺以下，且屬1層樓之建築者，免申請建築執照。本條例中華民國92年1月13日修正施行前，已興建有固定基礎之農業設施，面積在250平方公尺以下而無安全顧慮者，得免申請建築執照。」（90年10月3日(90),一併發給容許使用證明、得免申請建築執照、有關農業用地上興建有未經申請核准容許使用之農業設施、該農業用地於申請核發農業用地作農業使用證明書、應輔導補辦申請容許使用、並於核發農業用地作農業使用證明書時、本會旨揭函釋業有明文、先予敘明、又農業發展條例民國92年2月7日發布實行時、增訂第八條之一,農業使用證明函釋part11.docx
3-2,經核定休閒農業區範圍內之休閒農業設施，符合作農業使用之認定案,字第0970171413號函,97年12月25日,查農業發展條例第3條第12款明定：「農業使用：指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍等使用者。」所稱「農業設施」於農業用地容許作農業設施使用審查辦法第3條及第19條分別明定：「本辦法所稱之農業設施種類如下：一、...五、休閒農業設施。」、「農業用地容許作為休閒農業設施使用，應依休閒農業輔導管理辦法規定提出申請。」因此，本會95年4月25日農企字第0950121233號函釋（諒達）略以：「...倘該休閒農業區範圍內之各項公共設施經認定為休閒農業設施經依休閒農業相關法規規定，申請核准施設，且取得相關證明文件者，該農業用地得依前開規定認定為作農業使用。」又依休閒農,查農業發展條例第3條第12款明定、農業使用、指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍等使用者、所稱、農業設施、於農業用地容許作農業設施使用審查辦法第3條及第19條分別明定,農業使用證明函釋part12.docx
3-2,經核定休閒農業區範圍內之休閒農業設施，符合作農業使用之認定案,字第0950129165號函,95年6月1日,一、查 貴府旨揭函說明二略以：「本案請依行政院農業委員會95年4月25日農企字第0950121233號函辦理，檢附上開函文。」惟經查非都市土地使用管制規則附表一「各種使用地容許使用項目及許可使用細目表」明定，農牧用地之容許使用項目(九)休閒農業設施(平面停車場等)，其附帶條件為「限經農業主管機關劃定之休閒農業區或准予籌設之休閒農場」。且本會前開函釋略以：「．．．倘該休閒農業區範圍內之各項公共設施經認定為休閒農業設施，並經依休閒農業相關法規規定，申請核准施設，且取得相關證明文件者，該農業用地得依前開規定認定為作農業使用。」二、本案土地是否屬經核定為休閒農業區之範圍？該設施是否經依休閒農業相關法規,申請核准施設、貴府旨揭函說明二略以、本案請依行政院農業委員會95年4月25日農企字第0950121233號函辦理、檢附上開函文、惟經查非都市土地使用管制規則附表一、各種使用地容許使用項目及許可使用細目表、明定、農牧用地之容許使用項目、休閒農業設施、平面停車場等,農業使用證明函釋part12.docx
3-2,經核定休閒農業區範圍內之休閒農業設施，符合作農業使用之認定案,字第0950121233號函,95年4月25日,一、查非都市土地使用管制規則附表一「各種使用地容許使用項目及許可使用細目表」明定農牧用地、林業用地及養殖用地容許作休閒農業設施使用，惟其附帶條件為「限經農業主管機關劃定之休閒農業區或准予籌設之休閒農場」；又農業發展條例第8條之1第2項明定「農業用地上興建有固定基礎之農業設施，應先申請農業設施之容許使用，並依法申請建築執照。」本會並依該條第3項之授權，訂頒有農業用地容許作農業設施使用審查辦法乙種，以作為審查之依據。該辦法第3條及第19條分別明定「本辦法所稱之農業設施種類如下：一、...五、休閒農業設施。」、「農業用地容許作為休閒農業設施使用，應依休閒農業輔導管理辦法規定提出申請。」二、綜上，經核,查非都市土地使用管制規則附表一、各種使用地容許使用項目及許可使用細目表、明定農牧用地、林業用地及養殖用地容許作休閒農業設施使用、惟其附帶條件為、限經農業主管機關劃定之休閒農業區或准予籌設之休閒農場、又農業發展條例第8條之1第2項明定、農業用地上興建有固定基礎之農業設施、應先申請農業設施之容許使用、並依法申請建築執照,農業使用證明函釋part12.docx
